Tournament_Year,Match_Stage,Team_A,Team_B,Shooter_Team,Shooter_Name,Goalkeeper_Name,Kick_Number,Team_Kick_Number,Score_Before_Kick,Is_Must_Score,Is_Winning_Kick,Shoot_Outcome,Match_Key,Shootout_Length,Is_Goal,Is_Must_Score_Bool,Sudden_Death_Flag
2002,Quarter-finals,Spain,Republic of Korea,Spain,Rubén Baraja,Lee Woon-jae,3,2,0-1,No,No,Goal,"(2002, 'Quarter-finals', 'Spain', 'Republic of Korea')",9,True,False,False
2002,Quarter-finals,Spain,Republic of Korea,Republic of Korea,Park Ji-sung,Iker Casillas,4,2,1-1,No,No,Goal,"(2002, 'Quarter-finals', 'Spain', 'Republic of Korea')",9,True,False,False
2002,Quarter-finals,Spain,Republic of Korea,Spain,Xavi,Lee Woon-jae,5,3,2-1,No,No,Goal,"(2002, 'Quarter-finals', 'Spain', 'Republic of Korea')",9,True,False,False
2002,Quarter-finals,Spain,Republic of Korea,Republic of Korea,Seol Ki-hyeon,Iker Casillas,6,3,2-2,No,No,Goal,"(2002, 'Quarter-finals', 'Spain', 'Republic of Korea')",9,True,False,False
2002,Quarter-finals,Spain,Republic of Korea,Spain,Fernando Morientes,Lee Woon-jae,7,4,3-2,No,No,Goal,"(2002, 'Quarter-finals', 'Spain', 'Republic of Korea')",9,True,False,False
2002,Quarter-finals,Spain,Republic of Korea,Republic of Korea,Ahn Jung-hwan,Iker Casillas,8,4,3-3,No,No,Goal,"(2002, 'Quarter-finals', 'Spain', 'Republic of Korea')",9,True,False,False
2002,Quarter-finals,Spain,Republic of Korea,Republic of Korea,Hong Myung-bo,Iker Casillas,9,5,4-3,No,Yes,Goal,"(2002, 'Quarter-finals', 'Spain', 'Republic of Korea')",9,True,False,False
2006,Round of 16,Ukraine,Switzerland,Ukraine,Andriy Shevchenko,Pascal Zuberbühler,1,1,0-0,No,No,Saved,"(2006, 'Round of 16', 'Ukraine', 'Switzerland')",7,False,False,False
2006,Round of 16,Ukraine,Switzerland,Switzerland,Marco Streller,Oleksandr Shovkovskyi,2,1,0-0,No,No,Saved,"(2006, 'Round of 16', 'Ukraine', 'Switzerland')",7,False,False,False
2006,Round of 16,Ukraine,Switzerland,Ukraine,Artem Milevskyi,Pascal Zuberbühler,3,2,0-0,No,No,Goal,"(2006, 'Round of 16', 'Ukraine', 'Switzerland')",7,True,False,False
2006,Round of 16,Ukraine,Switzerland,Switzerland,Tranquillo Barnetta,Oleksandr Shovkovskyi,4,2,1-0,No,No,Missed,"(2006, 'Round of 16', 'Ukraine', 'Switzerland')",7,False,False,False
2006,Round of 16,Ukraine,Switzerland,Ukraine,Serhiy Rebrov,Pascal Zuberbühler,5,3,1-0,No,No,Goal,"(2006, 'Round of 16', 'Ukraine', 'Switzerland')",7,True,False,False
2006,Round of 16,Ukraine,Switzerland,Switzerland,Ricardo Cabanas,Oleksandr Shovkovskyi,6,3,2-0,No,No,Saved,"(2006, 'Round of 16', 'Ukraine', 'Switzerland')",7,False,False,False
2006,Round of 16,Ukraine,Switzerland,Ukraine,Oleh Husyev,Pascal Zuberbühler,7,4,2-0,No,Yes,Goal,"(2006, 'Round of 16', 'Ukraine', 'Switzerland')",7,True,False,False
2006,Quarter-finals,Germany,Argentina,Germany,Oliver Neuville,Leonardo Franco,1,1,0-0,No,No,Goal,"(2006, 'Quarter-finals', 'Germany', 'Argentina')",8,True,False,False
2006,Quarter-finals,Germany,Argentina,Argentina,Julio Ricardo Cruz,Jens Lehmann,2,1,1-0,No,No,Goal,"(2006, 'Quarter-finals', 'Germany', 'Argentina')",8,True,False,False
2006,Quarter-finals,Germany,Argentina,Germany,Michael Ballack,Leonardo Franco,3,2,1-1,No,No,Goal,"(2006, 'Quarter-finals', 'Germany', 'Argentina')",8,True,False,False
2006,Quarter-finals,Germany,Argentina,Argentina,Roberto Ayala,Jens Lehmann,4,2,1-2,No,No,Saved,"(2006, 'Quarter-finals', 'Germany', 'Argentina')",8,False,False,False
2006,Quarter-finals,Germany,Argentina,Germany,Lukas Podolski,Leonardo Franco,5,3,1-2,No,No,Goal,"(2006, 'Quarter-finals', 'Germany', 'Argentina')",8,True,False,False
2006,Quarter-finals,Germany,Argentina,Argentina,Maxi Rodríguez,Jens Lehmann,6,3,1-3,No,No,Goal,"(2006, 'Quarter-finals', 'Germany', 'Argentina')",8,True,False,False
2006,Quarter-finals,Germany,Argentina,Germany,Tim Borowski,Leonardo Franco,7,4,2-3,No,No,Goal,"(2006, 'Quarter-finals', 'Germany', 'Argentina')",8,True,False,False
2006,Quarter-finals,Germany,Argentina,Argentina,Esteban Cambiasso,Jens Lehmann,8,4,2-4,Yes,Yes,Saved,"(2006, 'Quarter-finals', 'Germany', 'Argentina')",8,False,True,False
2006,Quarter-finals,Portugal,England,Portugal,Simão Sabrosa,Paul Robinson,1,1,0-0,No,No,Goal,"(2006, 'Quarter-finals', 'Portugal', 'England')",9,True,False,False
2006,Quarter-finals,Portugal,England,England,Frank Lampard,Ricardo,2,1,1-0,No,No,Saved,"(2006, 'Quarter-finals', 'Portugal', 'England')",9,False,False,False
2006,Quarter-finals,Portugal,England,Portugal,Hugo Viana,Paul Robinson,3,2,1-0,No,No,Missed,"(2006, 'Quarter-finals', 'Portugal', 'England')",9,False,False,False
2006,Quarter-finals,Portugal,England,England,Owen Hargreaves,Ricardo,4,2,1-0,No,No,Goal,"(2006, 'Quarter-finals', 'Portugal', 'England')",9,True,False,False
2006,Quarter-finals,Portugal,England,Portugal,Petit,Paul Robinson,5,3,1-1,No,No,Missed,"(2006, 'Quarter-finals', 'Portugal', 'England')",9,False,False,False
2006,Quarter-finals,Portugal,England,England,Steven Gerrard,Ricardo,6,3,1-1,No,No,Saved,"(2006, 'Quarter-finals', 'Portugal', 'England')",9,False,False,False
2006,Quarter-finals,Portugal,England,Portugal,Hélder Postiga,Paul Robinson,7,4,1-1,No,No,Goal,"(2006, 'Quarter-finals', 'Portugal', 'England')",9,True,False,False
2006,Quarter-finals,Portugal,England,England,Jamie Carragher,Ricardo,8,4,1-2,No,No,Saved,"(2006, 'Quarter-finals', 'Portugal', 'England')",9,False,False,False
2006,Quarter-finals,Portugal,England,Portugal,Cristiano Ronaldo,Paul Robinson,9,5,1-2,No,Yes,Goal,"(2006, 'Quarter-finals', 'Portugal', 'England')",9,True,False,False
2006,Final,Italy,France,Italy,Andrea Pirlo,Fabien Barthez,1,1,0-0,No,No,Goal,"(2006, 'Final', 'Italy', 'France')",9,True,False,False
2006,Final,Italy,France,France,Sylvain Wiltord,Gianluigi Buffon,2,1,1-0,No,No,Goal,"(2006, 'Final', 'Italy', 'France')",9,True,False,False
2006,Final,Italy,France,Italy,Marco Materazzi,Fabien Barthez,3,2,1-1,No,No,Goal,"(2006, 'Final', 'Italy', 'France')",9,True,False,False
2006,Final,Italy,France,France,David Trezeguet,Gianluigi Buffon,4,2,1-2,No,No,Missed,"(2006, 'Final', 'Italy', 'France')",9,False,False,False
2006,Final,Italy,France,Italy,Daniele De Rossi,Fabien Barthez,5,3,1-2,No,No,Goal,"(2006, 'Final', 'Italy', 'France')",9,True,False,False
2006,Final,Italy,France,France,Éric Abidal,Gianluigi Buffon,6,3,1-3,No,No,Goal,"(2006, 'Final', 'Italy', 'France')",9,True,False,False
2006,Final,Italy,France,Italy,Alessandro Del Piero,Fabien Barthez,7,4,2-3,No,No,Goal,"(2006, 'Final', 'Italy', 'France')",9,True,False,False
2006,Final,Italy,France,France,Willy Sagnol,Gianluigi Buffon,8,4,2-4,No,No,Goal,"(2006, 'Final', 'Italy', 'France')",9,True,False,False
2006,Final,Italy,France,Italy,Fabio Grosso,Fabien Barthez,9,5,3-4,No,Yes,Goal,"(2006, 'Final', 'Italy', 'France')",9,True,False,False
2010,Round of 16,Paraguay,Japan,Paraguay,Édgar Barreto,Eiji Kawashima,1,1,0-0,No,No,Goal,"(2010, 'Round of 16', 'Paraguay', 'Japan')",9,True,False,False
2010,Round of 16,Paraguay,Japan,Japan,Yasuhito Endō,Justo Villar,2,1,1-0,No,No,Goal,"(2010, 'Round of 16', 'Paraguay', 'Japan')",9,True,False,False
2010,Round of 16,Paraguay,Japan,Paraguay,Lucas Barrios,Eiji Kawashima,3,2,1-1,No,No,Goal,"(2010, 'Round of 16', 'Paraguay', 'Japan')",9,True,False,False
2010,Round of 16,Paraguay,Japan,Japan,Yuki Abe,Justo Villar,4,2,1-2,No,No,Goal,"(2010, 'Round of 16', 'Paraguay', 'Japan')",9,True,False,False
2010,Round of 16,Paraguay,Japan,Paraguay,Cristian Riveros,Eiji Kawashima,5,3,2-2,No,No,Goal,"(2010, 'Round of 16', 'Paraguay', 'Japan')",9,True,False,False
2010,Round of 16,Paraguay,Japan,Japan,Yuichi Komano,Justo Villar,6,3,2-3,No,No,Missed,"(2010, 'Round of 16', 'Paraguay', 'Japan')",9,False,False,False
2010,Round of 16,Paraguay,Japan,Paraguay,Nelson Valdez,Eiji Kawashima,7,4,2-3,No,No,Goal,"(2010, 'Round of 16', 'Paraguay', 'Japan')",9,True,False,False
2010,Round of 16,Paraguay,Japan,Japan,Keisuke Honda,Justo Villar,8,4,2-4,No,No,Goal,"(2010, 'Round of 16', 'Paraguay', 'Japan')",9,True,False,False
2010,Round of 16,Paraguay,Japan,Paraguay,Óscar Cardozo,Eiji Kawashima,9,5,3-4,No,Yes,Goal,"(2010, 'Round of 16', 'Paraguay', 'Japan')",9,True,False,False
2010,Quarter-finals,Uruguay,Ghana,Uruguay,Diego Forlán,Richard Kingson,1,1,0-0,No,No,Goal,"(2010, 'Quarter-finals', 'Uruguay', 'Ghana')",9,True,False,False
2010,Quarter-finals,Uruguay,Ghana,Ghana,Asamoah Gyan,Fernando Muslera,2,1,1-0,No,No,Goal,"(2010, 'Quarter-finals', 'Uruguay', 'Ghana')",9,True,False,False
2010,Quarter-finals,Uruguay,Ghana,Uruguay,Mauricio Victorino,Richard Kingson,3,2,1-1,No,No,Goal,"(2010, 'Quarter-finals', 'Uruguay', 'Ghana')",9,True,False,False
2010,Quarter-finals,Uruguay,Ghana,Ghana,Appiah,Fernando Muslera,4,2,1-2,No,No,Goal,"(2010, 'Quarter-finals', 'Uruguay', 'Ghana')",9,True,False,False
2010,Quarter-finals,Uruguay,Ghana,Uruguay,Andrés Scotti,Richard Kingson,5,3,2-2,No,No,Goal,"(2010, 'Quarter-finals', 'Uruguay', 'Ghana')",9,True,False,False
2010,Quarter-finals,Uruguay,Ghana,Ghana,John Mensah,Fernando Muslera,6,3,2-3,No,No,Saved,"(2010, 'Quarter-finals', 'Uruguay', 'Ghana')",9,False,False,False
2010,Quarter-finals,Uruguay,Ghana,Uruguay,Maxi Pereira,Richard Kingson,7,4,2-3,No,No,Missed,"(2010, 'Quarter-finals', 'Uruguay', 'Ghana')",9,False,False,False
2010,Quarter-finals,Uruguay,Ghana,Ghana,Dominic Adiyiah,Fernando Muslera,8,4,2-3,No,No,Saved,"(2010, 'Quarter-finals', 'Uruguay', 'Ghana')",9,False,False,False
2010,Quarter-finals,Uruguay,Ghana,Uruguay,Sebastián Abreu,Richard Kingson,9,5,2-3,No,Yes,Goal,"(2010, 'Quarter-finals', 'Uruguay', 'Ghana')",9,True,False,False
2014,Round of 16,Brazil,Chile,Brazil,David Luiz,Claudio Bravo,1,1,0-0,No,No,Goal,"(2014, 'Round of 16', 'Brazil', 'Chile')",10,True,False,False
2014,Round of 16,Brazil,Chile,Chile,Mauricio Pinilla,Júlio César,2,1,1-0,No,No,Saved,"(2014, 'Round of 16', 'Brazil', 'Chile')",10,False,False,False
2014,Round of 16,Brazil,Chile,Brazil,Willian,Claudio Bravo,3,2,1-0,No,No,Missed,"(2014, 'Round of 16', 'Brazil', 'Chile')",10,False,False,False
2014,Round of 16,Brazil,Chile,Chile,Alexis Sánchez,Júlio César,4,2,1-0,No,No,Saved,"(2014, 'Round of 16', 'Brazil', 'Chile')",10,False,False,False
2014,Round of 16,Brazil,Chile,Brazil,Marcelo,Claudio Bravo,5,3,1-0,No,No,Goal,"(2014, 'Round of 16', 'Brazil', 'Chile')",10,True,False,False
2014,Round of 16,Brazil,Chile,Chile,Charles Aránguiz,Júlio César,6,3,1-2,No,No,Goal,"(2014, 'Round of 16', 'Brazil', 'Chile')",10,True,False,False
2014,Round of 16,Brazil,Chile,Brazil,Hulk,Claudio Bravo,7,4,1-2,No,No,Saved,"(2014, 'Round of 16', 'Brazil', 'Chile')",10,False,False,False
2014,Round of 16,Brazil,Chile,Chile,Marcelo Díaz,Júlio César,8,4,2-2,No,No,Goal,"(2014, 'Round of 16', 'Brazil', 'Chile')",10,True,False,False
2014,Round of 16,Brazil,Chile,Brazil,Neymar,Claudio Bravo,9,5,2-2,No,No,Goal,"(2014, 'Round of 16', 'Brazil', 'Chile')",10,True,False,False
2014,Round of 16,Brazil,Chile,Chile,Gonzalo Jara,Júlio César,10,5,2-3,Yes,Yes,Missed,"(2014, 'Round of 16', 'Brazil', 'Chile')",10,False,True,False
2014,Round of 16,Costa Rica,Greece,Costa Rica,Celso Borges,Orestis Karnezis,1,1,0-0,No,No,Goal,"(2014, 'Round of 16', 'Costa Rica', 'Greece')",9,True,False,False
2014,Round of 16,Costa Rica,Greece,Greece,Mitroglou,Keylor Navas,2,1,1-0,No,No,Goal,"(2014, 'Round of 16', 'Costa Rica', 'Greece')",9,True,False,False
2014,Round of 16,Costa Rica,Greece,Costa Rica,Bryan Ruiz,Orestis Karnezis,3,2,1-1,No,No,Goal,"(2014, 'Round of 16', 'Costa Rica', 'Greece')",9,True,False,False
2014,Round of 16,Costa Rica,Greece,Greece,Lazaros Christodoulopoulos,Keylor Navas,4,2,2-2,No,No,Goal,"(2014, 'Round of 16', 'Costa Rica', 'Greece')",9,True,False,False
2014,Round of 16,Costa Rica,Greece,Costa Rica,Giancarlo González,Orestis Karnezis,5,3,2-2,No,No,Goal,"(2014, 'Round of 16', 'Costa Rica', 'Greece')",9,True,False,False
2014,Round of 16,Costa Rica,Greece,Greece,José Holebas,Keylor Navas,6,3,3-3,No,No,Goal,"(2014, 'Round of 16', 'Costa Rica', 'Greece')",9,True,False,False
2014,Round of 16,Costa Rica,Greece,Costa Rica,Joel Campbell,Orestis Karnezis,7,4,3-3,No,No,Goal,"(2014, 'Round of 16', 'Costa Rica', 'Greece')",9,True,False,False
2014,Round of 16,Costa Rica,Greece,Greece,Theofanis Gekas,Keylor Navas,8,4,4-4,No,No,Saved,"(2014, 'Round of 16', 'Costa Rica', 'Greece')",9,False,False,False
2014,Round of 16,Costa Rica,Greece,Costa Rica,Michael Umaña,Orestis Karnezis,9,5,4-4,No,Yes,Goal,"(2014, 'Round of 16', 'Costa Rica', 'Greece')",9,True,False,False
2014,Quarter-finals,Netherlands,Costa Rica,Netherlands,Robin van Persie,Keylor Navas,1,1,0-0,No,No,Goal,"(2014, 'Quarter-finals', 'Netherlands', 'Costa Rica')",8,True,False,False
2014,Quarter-finals,Netherlands,Costa Rica,Costa Rica,Celso Borges,Tim Krul,2,1,1-0,No,No,Goal,"(2014, 'Quarter-finals', 'Netherlands', 'Costa Rica')",8,True,False,False
2014,Quarter-finals,Netherlands,Costa Rica,Netherlands,Arjen Robben,Keylor Navas,3,2,1-1,No,No,Goal,"(2014, 'Quarter-finals', 'Netherlands', 'Costa Rica')",8,True,False,False
2014,Quarter-finals,Netherlands,Costa Rica,Costa Rica,Bryan Ruiz,Tim Krul,4,2,1-2,No,No,Saved,"(2014, 'Quarter-finals', 'Netherlands', 'Costa Rica')",8,False,False,False
2014,Quarter-finals,Netherlands,Costa Rica,Netherlands,Wesley Sneijder,Keylor Navas,5,3,1-2,No,No,Goal,"(2014, 'Quarter-finals', 'Netherlands', 'Costa Rica')",8,True,False,False
2014,Quarter-finals,Netherlands,Costa Rica,Costa Rica,Giancarlo González,Tim Krul,6,3,2-3,No,No,Goal,"(2014, 'Quarter-finals', 'Netherlands', 'Costa Rica')",8,True,False,False
2014,Quarter-finals,Netherlands,Costa Rica,Netherlands,Dirk Kuyt,Keylor Navas,7,4,2-3,No,No,Goal,"(2014, 'Quarter-finals', 'Netherlands', 'Costa Rica')",8,True,False,False
2014,Quarter-finals,Netherlands,Costa Rica,Costa Rica,Michael Umaña,Tim Krul,8,4,2-4,Yes,Yes,Saved,"(2014, 'Quarter-finals', 'Netherlands', 'Costa Rica')",8,False,True,False
2014,Semi-finals,Netherlands,Argentina,Argentina,Ron Vlaar,Sergio Romero,1,1,0-0,No,No,Saved,"(2014, 'Semi-finals', 'Netherlands', 'Argentina')",8,False,False,False
2014,Semi-finals,Netherlands,Argentina,Netherlands,Lionel Messi,Jasper Cillessen,2,1,0-1,No,No,Goal,"(2014, 'Semi-finals', 'Netherlands', 'Argentina')",8,True,False,False
2014,Semi-finals,Netherlands,Argentina,Argentina,Arjen Robben,Sergio Romero,3,2,1-1,No,No,Goal,"(2014, 'Semi-finals', 'Netherlands', 'Argentina')",8,True,False,False
2014,Semi-finals,Netherlands,Argentina,Netherlands,Ezequiel Garay,Jasper Cillessen,4,2,2-1,No,No,Goal,"(2014, 'Semi-finals', 'Netherlands', 'Argentina')",8,True,False,False
2014,Semi-finals,Netherlands,Argentina,Argentina,Wesley Sneijder,Sergio Romero,5,3,2-1,No,No,Saved,"(2014, 'Semi-finals', 'Netherlands', 'Argentina')",8,False,False,False
2014,Semi-finals,Netherlands,Argentina,Netherlands,Sergio Agüero,Jasper Cillessen,6,3,3-1,No,No,Goal,"(2014, 'Semi-finals', 'Netherlands', 'Argentina')",8,True,False,False
2014,Semi-finals,Netherlands,Argentina,Argentina,Dirk Kuyt,Sergio Romero,7,4,3-2,No,No,Goal,"(2014, 'Semi-finals', 'Netherlands', 'Argentina')",8,True,False,False
2014,Semi-finals,Netherlands,Argentina,Netherlands,Maxi Rodríguez,Jasper Cillessen,8,4,3-2,No,Yes,Goal,"(2014, 'Semi-finals', 'Netherlands', 'Argentina')",8,True,False,False
2018,Round of 16,Colombia,England,Colombia,Radamel Falcao,Jordan Pickford,1,1,0-0,No,No,Goal,"(2018, 'Round of 16', 'Colombia', 'England')",10,True,False,False
2018,Round of 16,Colombia,England,England,Harry Kane,David Ospina,2,1,1-0,No,No,Goal,"(2018, 'Round of 16', 'Colombia', 'England')",10,True,False,False
2018,Round of 16,Colombia,England,Colombia,Juan Cuadrado,Jordan Pickford,3,2,1-1,No,No,Goal,"(2018, 'Round of 16', 'Colombia', 'England')",10,True,False,False
2018,Round of 16,Colombia,England,England,Marcus Rashford,David Ospina,4,2,1-2,No,No,Goal,"(2018, 'Round of 16', 'Colombia', 'England')",10,True,False,False
2018,Round of 16,Colombia,England,Colombia,Luis Muriel,Jordan Pickford,5,3,2-2,No,No,Goal,"(2018, 'Round of 16', 'Colombia', 'England')",10,True,False,False
2018,Round of 16,Colombia,England,England,Jordan Henderson,David Ospina,6,3,2-3,No,No,Saved,"(2018, 'Round of 16', 'Colombia', 'England')",10,False,False,False
2018,Round of 16,Colombia,England,Colombia,Mateus Uribe,Jordan Pickford,7,4,2-3,No,No,Missed,"(2018, 'Round of 16', 'Colombia', 'England')",10,False,False,False
2018,Round of 16,Colombia,England,England,Kieran Trippier,David Ospina,8,4,2-3,No,No,Goal,"(2018, 'Round of 16', 'Colombia', 'England')",10,True,False,False
2018,Round of 16,Colombia,England,Colombia,Carlos Bacca,Jordan Pickford,9,5,3-3,No,No,Saved,"(2018, 'Round of 16', 'Colombia', 'England')",10,False,False,False
2018,Round of 16,Colombia,England,England,Eric Dier,David Ospina,10,5,3-3,No,Yes,Goal,"(2018, 'Round of 16', 'Colombia', 'England')",10,True,False,False
2018,Round of 16,Croatia,Denmark,Denmark,Christian Eriksen,Danijel Subašić,1,1,0-0,No,No,Saved,"(2018, 'Round of 16', 'Croatia', 'Denmark')",10,False,False,False
2018,Round of 16,Croatia,Denmark,Croatia,Milan Badelj,Kasper Schmeichel,2,1,0-0,No,No,Saved,"(2018, 'Round of 16', 'Croatia', 'Denmark')",10,False,False,False
2018,Round of 16,Croatia,Denmark,Denmark,Simon Kjær,Danijel Subašić,3,2,0-0,No,No,Goal,"(2018, 'Round of 16', 'Croatia', 'Denmark')",10,True,False,False
2018,Round of 16,Croatia,Denmark,Croatia,Andrej Kramarić,Kasper Schmeichel,4,2,0-1,No,No,Goal,"(2018, 'Round of 16', 'Croatia', 'Denmark')",10,True,False,False
2018,Round of 16,Croatia,Denmark,Denmark,Michael Krohn-Dehli,Danijel Subašić,5,3,1-1,No,No,Goal,"(2018, 'Round of 16', 'Croatia', 'Denmark')",10,True,False,False
2018,Round of 16,Croatia,Denmark,Croatia,Luka Modrić,Kasper Schmeichel,6,3,2-1,No,No,Goal,"(2018, 'Round of 16', 'Croatia', 'Denmark')",10,True,False,False
2018,Round of 16,Croatia,Denmark,Denmark,Lasse Schöne,Danijel Subašić,7,4,2-2,No,No,Saved,"(2018, 'Round of 16', 'Croatia', 'Denmark')",10,False,False,False
2018,Round of 16,Croatia,Denmark,Croatia,Josip Pivarić,Kasper Schmeichel,8,4,2-2,No,No,Saved,"(2018, 'Round of 16', 'Croatia', 'Denmark')",10,False,False,False
2018,Round of 16,Croatia,Denmark,Denmark,Nicolai Jørgensen,Danijel Subašić,9,5,2-2,No,No,Saved,"(2018, 'Round of 16', 'Croatia', 'Denmark')",10,False,False,False
2018,Round of 16,Croatia,Denmark,Croatia,Ivan Rakitić,Kasper Schmeichel,10,5,2-2,No,Yes,Goal,"(2018, 'Round of 16', 'Croatia', 'Denmark')",10,True,False,False
2018,Round of 16,Spain,Russia,Spain,Andrés Iniesta,Igor Akinfeev,1,1,0-0,No,No,Goal,"(2018, 'Round of 16', 'Spain', 'Russia')",8,True,False,False
2018,Round of 16,Spain,Russia,Russia,Fedor Smolov,David de Gea,2,1,1-0,No,No,Goal,"(2018, 'Round of 16', 'Spain', 'Russia')",8,True,False,False
2018,Round of 16,Spain,Russia,Spain,Gerard Piqué,Igor Akinfeev,3,2,1-1,No,No,Goal,"(2018, 'Round of 16', 'Spain', 'Russia')",8,True,False,False
2018,Round of 16,Spain,Russia,Russia,Sergey Ignashevich,David de Gea,4,2,1-2,No,No,Goal,"(2018, 'Round of 16', 'Spain', 'Russia')",8,True,False,False
2018,Round of 16,Spain,Russia,Spain,Koke,Igor Akinfeev,5,3,2-2,No,No,Saved,"(2018, 'Round of 16', 'Spain', 'Russia')",8,False,False,False
2018,Round of 16,Spain,Russia,Russia,Aleksandr Golovin,David de Gea,6,3,2-2,No,No,Goal,"(2018, 'Round of 16', 'Spain', 'Russia')",8,True,False,False
2018,Round of 16,Spain,Russia,Spain,Iago Aspas,Igor Akinfeev,7,4,3-2,No,No,Saved,"(2018, 'Round of 16', 'Spain', 'Russia')",8,False,False,False
2018,Round of 16,Spain,Russia,Russia,Denis Cheryshev,David de Gea,8,4,3-2,No,No,Goal,"(2018, 'Round of 16', 'Spain', 'Russia')",8,True,False,False
2018,Quarter-finals,Russia,Croatia,Russia,Fedor Smolov,Danijel Subašić,1,1,0-0,No,No,Saved,"(2018, 'Quarter-finals', 'Russia', 'Croatia')",10,False,False,False
2018,Quarter-finals,Russia,Croatia,Croatia,Marcelo Brozović,Igor Akinfeev,2,1,0-0,No,No,Goal,"(2018, 'Quarter-finals', 'Russia', 'Croatia')",10,True,False,False
2018,Quarter-finals,Russia,Croatia,Russia,Alan Dzagoev,Danijel Subašić,3,2,0-1,No,No,Goal,"(2018, 'Quarter-finals', 'Russia', 'Croatia')",10,True,False,False
2018,Quarter-finals,Russia,Croatia,Croatia,Mateo Kovačić,Igor Akinfeev,4,2,1-1,No,No,Saved,"(2018, 'Quarter-finals', 'Russia', 'Croatia')",10,False,False,False
2018,Quarter-finals,Russia,Croatia,Russia,Mário Fernandes,Danijel Subašić,5,3,1-1,No,No,Missed,"(2018, 'Quarter-finals', 'Russia', 'Croatia')",10,False,False,False
2018,Quarter-finals,Russia,Croatia,Croatia,Luka Modrić,Igor Akinfeev,6,3,1-1,No,No,Goal,"(2018, 'Quarter-finals', 'Russia', 'Croatia')",10,True,False,False
2018,Quarter-finals,Russia,Croatia,Russia,Denis Cheryshev,Danijel Subašić,7,4,2-1,No,No,Goal,"(2018, 'Quarter-finals', 'Russia', 'Croatia')",10,True,False,False
2018,Quarter-finals,Russia,Croatia,Croatia,Domagoj Vida,Igor Akinfeev,8,4,2-2,No,No,Goal,"(2018, 'Quarter-finals', 'Russia', 'Croatia')",10,True,False,False
2018,Quarter-finals,Russia,Croatia,Russia,Daler Kuzyayev,Danijel Subašić,9,5,3-2,No,No,Goal,"(2018, 'Quarter-finals', 'Russia', 'Croatia')",10,True,False,False
2018,Quarter-finals,Russia,Croatia,Croatia,Ivan Rakitić,Igor Akinfeev,10,5,3-3,No,Yes,Goal,"(2018, 'Quarter-finals', 'Russia', 'Croatia')",10,True,False,False
2022,Round of 16,Japan,Croatia,Japan,Takumi Minamino,Dominik Livaković,1,1,0-0,No,No,Saved,"(2022, 'Round of 16', 'Japan', 'Croatia')",8,False,False,False
2022,Round of 16,Japan,Croatia,Croatia,Nikola Vlašić,Shūichi Gonda,2,1,0-0,No,No,Goal,"(2022, 'Round of 16', 'Japan', 'Croatia')",8,True,False,False
2022,Round of 16,Japan,Croatia,Japan,Kaoru Mitoma,Dominik Livaković,3,2,0-1,No,No,Saved,"(2022, 'Round of 16', 'Japan', 'Croatia')",8,False,False,False
2022,Round of 16,Japan,Croatia,Croatia,Marcelo Brozović,Shūichi Gonda,4,2,0-1,No,No,Goal,"(2022, 'Round of 16', 'Japan', 'Croatia')",8,True,False,False
2022,Round of 16,Japan,Croatia,Japan,Takuma Asano,Dominik Livaković,5,3,0-2,No,No,Goal,"(2022, 'Round of 16', 'Japan', 'Croatia')",8,True,False,False
2022,Round of 16,Japan,Croatia,Croatia,Marko Livaja,Shūichi Gonda,6,3,2-1,No,No,Missed,"(2022, 'Round of 16', 'Japan', 'Croatia')",8,False,False,False
2022,Round of 16,Japan,Croatia,Japan,Maya Yoshida,Dominik Livaković,7,4,2-1,No,No,Saved,"(2022, 'Round of 16', 'Japan', 'Croatia')",8,False,False,False
2022,Round of 16,Japan,Croatia,Croatia,Mario Pašalić,Shūichi Gonda,8,4,2-1,No,Yes,Goal,"(2022, 'Round of 16', 'Japan', 'Croatia')",8,True,False,False
2022,Round of 16,Morocco,Spain,Morocco,Abdelhamid Sabiri,Unai Simón,1,1,0-0,No,No,Goal,"(2022, 'Round of 16', 'Morocco', 'Spain')",7,True,False,False
2022,Round of 16,Morocco,Spain,Spain,Pablo Sarabia,Yassine Bounou,2,1,1-0,No,No,Missed,"(2022, 'Round of 16', 'Morocco', 'Spain')",7,False,False,False
2022,Round of 16,Morocco,Spain,Morocco,Hakim Ziyech,Unai Simón,3,2,1-0,No,No,Goal,"(2022, 'Round of 16', 'Morocco', 'Spain')",7,True,False,False
2022,Round of 16,Morocco,Spain,Spain,Carlos Soler,Yassine Bounou,4,2,2-0,No,No,Saved,"(2022, 'Round of 16', 'Morocco', 'Spain')",7,False,False,False
2022,Round of 16,Morocco,Spain,Morocco,Badr Benoun,Unai Simón,5,3,2-0,No,No,Saved,"(2022, 'Round of 16', 'Morocco', 'Spain')",7,False,False,False
2022,Round of 16,Morocco,Spain,Spain,Sergio Busquets,Yassine Bounou,6,3,2-0,No,No,Saved,"(2022, 'Round of 16', 'Morocco', 'Spain')",7,False,False,False
2022,Round of 16,Morocco,Spain,Morocco,Achraf Hakimi,Unai Simón,7,4,2-0,No,Yes,Goal,"(2022, 'Round of 16', 'Morocco', 'Spain')",7,True,False,False
2022,Quarter-finals,Croatia,Brazil,Croatia,Nikola Vlašić,Alisson,1,1,0-0,No,No,Goal,"(2022, 'Quarter-finals', 'Croatia', 'Brazil')",8,True,False,False
